aid:2167, atitle:债券基金攻守兼备, tid:94, tname:趋势, sql:insert into article_tags values(2167,94)
aid:2171, atitle:“价值型”基金仍是首选, tid:1092, tname:行情, sql:insert into article_tags values(2171,1092)
aid:2172, atitle:基金投资策略, tid:14, tname:涨势, sql:insert into article_tags values(2172,14)
aid:2172, atitle:基金投资策略, tid:51, tname:行情, sql:insert into article_tags values(2172,51)
aid:2172, atitle:基金投资策略, tid:60, tname:反弹, sql:insert into article_tags values(2172,60)
aid:2172, atitle:基金投资策略, tid:141, tname:套利, sql:insert into article_tags values(2172,141)
aid:2172, atitle:基金投资策略, tid:312, tname:封闭式基金, sql:insert into article_tags values(2172,312)
aid:2172, atitle:基金投资策略, tid:352, tname:证券, sql:insert into article_tags values(2172,352)
aid:2172, atitle:基金投资策略, tid:448, tname:公司, sql:insert into article_tags values(2172,448)
aid:2172, atitle:基金投资策略, tid:486, tname:资产, sql:insert into article_tags values(2172,486)
aid:2172, atitle:基金投资策略, tid:772, tname:系统性风险, sql:insert into article_tags values(2172,772)
aid:2172, atitle:基金投资策略, tid:867, tname:利率, sql:insert into article_tags values(2172,867)
aid:2172, atitle:基金投资策略, tid:880, tname:货币政策, sql:insert into article_tags values(2172,880)
aid:2172, atitle:基金投资策略, tid:890, tname:行业, sql:insert into article_tags values(2172,890)
aid:2172, atitle:基金投资策略, tid:1041, tname:套利, sql:insert into article_tags values(2172,1041)
aid:2172, atitle:基金投资策略, tid:1055, tname:涨势, sql:insert into article_tags values(2172,1055)
aid:2172, atitle:基金投资策略, tid:1092, tname:行情, sql:insert into article_tags values(2172,1092)
aid:2172, atitle:基金投资策略, tid:1101, tname:反弹, sql:insert into article_tags values(2172,1101)
aid:2173, atitle:基金中短期排名 也需关注, tid:9, tname:涨跌, sql:insert into article_tags values(2173,9)
aid:2173, atitle:基金中短期排名 也需关注, tid:94, tname:趋势, sql:insert into article_tags values(2173,94)
aid:2173, atitle:基金中短期排名 也需关注, tid:165, tname:股票, sql:insert into article_tags values(2173,165)
aid:2173, atitle:基金中短期排名 也需关注, tid:316, tname:股票基金, sql:insert into article_tags values(2173,316)
aid:2173, atitle:基金中短期排名 也需关注, tid:993, tname:趋势, sql:insert into article_tags values(2173,993)
aid:2173, atitle:基金中短期排名 也需关注, tid:1050, tname:涨跌, sql:insert into article_tags values(2173,1050)
aid:2174, atitle:选择迷你基金应三思而行, tid:165, tname:股票, sql:insert into article_tags values(2174,165)
aid:2174, atitle:选择迷你基金应三思而行, tid:333, tname:基金管理人, sql:insert into article_tags values(2174,333)
aid:2174, atitle:选择迷你基金应三思而行, tid:352, tname:证券, sql:insert into article_tags values(2174,352)
aid:2174, atitle:选择迷你基金应三思而行, tid:448, tname:公司, sql:insert into article_tags values(2174,448)
aid:2174, atitle:选择迷你基金应三思而行, tid:486, tname:资产, sql:insert into article_tags values(2174,486)
aid:2174, atitle:选择迷你基金应三思而行, tid:772, tname:系统性风险, sql:insert into article_tags values(2174,772)
aid:2174, atitle:选择迷你基金应三思而行, tid:890, tname:行业, sql:insert into article_tags values(2174,890)
aid:2174, atitle:选择迷你基金应三思而行, tid:913, tname:品牌, sql:insert into article_tags values(2174,913)
aid:2175, atitle:新发基金投资攻略, tid:165, tname:股票, sql:insert into article_tags values(2175,165)
aid:2175, atitle:新发基金投资攻略, tid:201, tname:债券, sql:insert into article_tags values(2175,201)
aid:2175, atitle:新发基金投资攻略, tid:317, tname:货币市场基金, sql:insert into article_tags values(2175,317)
aid:2176, atitle:结构性机会主导 多角度优选基金, tid:51, tname:行情, sql:insert into article_tags values(2176,51)
aid:2176, atitle:结构性机会主导 多角度优选基金, tid:60, tname:反弹, sql:insert into article_tags values(2176,60)
aid:2176, atitle:结构性机会主导 多角度优选基金, tid:165, tname:股票, sql:insert into article_tags values(2176,165)
aid:2176, atitle:结构性机会主导 多角度优选基金, tid:201, tname:债券, sql:insert into article_tags values(2176,201)
aid:2176, atitle:结构性机会主导 多角度优选基金, tid:312, tname:封闭式基金, sql:insert into article_tags values(2176,312)
aid:2176, atitle:结构性机会主导 多角度优选基金, tid:486, tname:资产, sql:insert into article_tags values(2176,486)
aid:2176, atitle:结构性机会主导 多角度优选基金, tid:864, tname:失业率, sql:insert into article_tags values(2176,864)
aid:2176, atitle:结构性机会主导 多角度优选基金, tid:890, tname:行业, sql:insert into article_tags values(2176,890)
aid:2176, atitle:结构性机会主导 多角度优选基金, tid:1092, tname:行情, sql:insert into article_tags values(2176,1092)
aid:2176, atitle:结构性机会主导 多角度优选基金, tid:1101, tname:反弹, sql:insert into article_tags values(2176,1101)
aid:2177, atitle:市场中性策略基金 稳健型投资者新选择, tid:7, tname:多头, sql:insert into article_tags values(2177,7)
aid:2177, atitle:市场中性策略基金 稳健型投资者新选择, tid:8, tname:空头, sql:insert into article_tags values(2177,8)
aid:2177, atitle:市场中性策略基金 稳健型投资者新选择, tid:53, tname:牛市, sql:insert into article_tags values(2177,53)
aid:2177, atitle:市场中性策略基金 稳健型投资者新选择, tid:54, tname:熊市, sql:insert into article_tags values(2177,54)
aid:2177, atitle:市场中性策略基金 稳健型投资者新选择, tid:60, tname:反弹, sql:insert into article_tags values(2177,60)
aid:2177, atitle:市场中性策略基金 稳健型投资者新选择, tid:141, tname:套利, sql:insert into article_tags values(2177,141)
aid:2177, atitle:市场中性策略基金 稳健型投资者新选择, tid:165, tname:股票, sql:insert into article_tags values(2177,165)
aid:2177, atitle:市场中性策略基金 稳健型投资者新选择, tid:448, tname:公司, sql:insert into article_tags values(2177,448)
aid:2177, atitle:市场中性策略基金 稳健型投资者新选择, tid:486, tname:资产, sql:insert into article_tags values(2177,486)
aid:2177, atitle:市场中性策略基金 稳健型投资者新选择, tid:772, tname:系统性风险, sql:insert into article_tags values(2177,772)
aid:2177, atitle:市场中性策略基金 稳健型投资者新选择, tid:1041, tname:套利, sql:insert into article_tags values(2177,1041)
aid:2177, atitle:市场中性策略基金 稳健型投资者新选择, tid:1048, tname:多头, sql:insert into article_tags values(2177,1048)
aid:2177, atitle:市场中性策略基金 稳健型投资者新选择, tid:1049, tname:空头, sql:insert into article_tags values(2177,1049)
aid:2177, atitle:市场中性策略基金 稳健型投资者新选择, tid:1094, tname:牛市, sql:insert into article_tags values(2177,1094)
aid:2177, atitle:市场中性策略基金 稳健型投资者新选择, tid:1095, tname:熊市, sql:insert into article_tags values(2177,1095)
aid:2177, atitle:市场中性策略基金 稳健型投资者新选择, tid:1101, tname:反弹, sql:insert into article_tags values(2177,1101)
aid:2178, atitle:春节理财全攻略：六大锦囊妙计过节大派送, tid:9, tname:涨跌, sql:insert into article_tags values(2178,9)
aid:2178, atitle:春节理财全攻略：六大锦囊妙计过节大派送, tid:70, tname:跌停板, sql:insert into article_tags values(2178,70)
aid:2178, atitle:春节理财全攻略：六大锦囊妙计过节大派送, tid:165, tname:股票, sql:insert into article_tags values(2178,165)
aid:2178, atitle:春节理财全攻略：六大锦囊妙计过节大派送, tid:166, tname:股份, sql:insert into article_tags values(2178,166)
aid:2178, atitle:春节理财全攻略：六大锦囊妙计过节大派送, tid:448, tname:公司, sql:insert into article_tags values(2178,448)
aid:2178, atitle:春节理财全攻略：六大锦囊妙计过节大派送, tid:755, tname:意外事故, sql:insert into article_tags values(2178,755)
aid:2178, atitle:春节理财全攻略：六大锦囊妙计过节大派送, tid:867, tname:利率, sql:insert into article_tags values(2178,867)
aid:2178, atitle:春节理财全攻略：六大锦囊妙计过节大派送, tid:868, tname:汇率, sql:insert into article_tags values(2178,868)
aid:2178, atitle:春节理财全攻略：六大锦囊妙计过节大派送, tid:890, tname:行业, sql:insert into article_tags values(2178,890)
aid:2178, atitle:春节理财全攻略：六大锦囊妙计过节大派送, tid:1050, tname:涨跌, sql:insert into article_tags values(2178,1050)
aid:2178, atitle:春节理财全攻略：六大锦囊妙计过节大派送, tid:1111, tname:跌停板, sql:insert into article_tags values(2178,1111)
aid:2179, atitle:华商田明圣：“静生定 定生慧”的投资智慧, tid:9, tname:涨跌, sql:insert into article_tags values(2179,9)
aid:2179, atitle:华商田明圣：“静生定 定生慧”的投资智慧, tid:31, tname:蓝筹股, sql:insert into article_tags values(2179,31)
aid:2179, atitle:华商田明圣：“静生定 定生慧”的投资智慧, tid:43, tname:散户, sql:insert into article_tags values(2179,43)
aid:2179, atitle:华商田明圣：“静生定 定生慧”的投资智慧, tid:94, tname:趋势, sql:insert into article_tags values(2179,94)
aid:2179, atitle:华商田明圣：“静生定 定生慧”的投资智慧, tid:448, tname:公司, sql:insert into article_tags values(2179,448)
aid:2179, atitle:华商田明圣：“静生定 定生慧”的投资智慧, tid:469, tname:董事, sql:insert into article_tags values(2179,469)
aid:2179, atitle:华商田明圣：“静生定 定生慧”的投资智慧, tid:486, tname:资产, sql:insert into article_tags values(2179,486)
aid:2179, atitle:华商田明圣：“静生定 定生慧”的投资智慧, tid:761, tname:固定资产, sql:insert into article_tags values(2179,761)
aid:2179, atitle:华商田明圣：“静生定 定生慧”的投资智慧, tid:890, tname:行业, sql:insert into article_tags values(2179,890)
aid:2179, atitle:华商田明圣：“静生定 定生慧”的投资智慧, tid:993, tname:趋势, sql:insert into article_tags values(2179,993)
aid:2179, atitle:华商田明圣：“静生定 定生慧”的投资智慧, tid:1050, tname:涨跌, sql:insert into article_tags values(2179,1050)
aid:2179, atitle:华商田明圣：“静生定 定生慧”的投资智慧, tid:1072, tname:蓝筹股, sql:insert into article_tags values(2179,1072)
aid:2179, atitle:华商田明圣：“静生定 定生慧”的投资智慧, tid:1084, tname:散户, sql:insert into article_tags values(2179,1084)
aid:2180, atitle:定投基金回本后该如何选择, tid:60, tname:反弹, sql:insert into article_tags values(2180,60)
aid:2180, atitle:定投基金回本后该如何选择, tid:352, tname:证券, sql:insert into article_tags values(2180,352)
aid:2180, atitle:定投基金回本后该如何选择, tid:1101, tname:反弹, sql:insert into article_tags values(2180,1101)
aid:2181, atitle:三招应对投基失误, tid:51, tname:行情, sql:insert into article_tags values(2181,51)
aid:2181, atitle:三招应对投基失误, tid:53, tname:牛市, sql:insert into article_tags values(2181,53)
aid:2181, atitle:三招应对投基失误, tid:54, tname:熊市, sql:insert into article_tags values(2181,54)
aid:2181, atitle:三招应对投基失误, tid:94, tname:趋势, sql:insert into article_tags values(2181,94)
aid:2181, atitle:三招应对投基失误, tid:165, tname:股票, sql:insert into article_tags values(2181,165)
aid:2181, atitle:三招应对投基失误, tid:352, tname:证券, sql:insert into article_tags values(2181,352)
aid:2181, atitle:三招应对投基失误, tid:486, tname:资产, sql:insert into article_tags values(2181,486)
aid:2181, atitle:三招应对投基失误, tid:865, tname:通货膨胀, sql:insert into article_tags values(2181,865)
aid:2181, atitle:三招应对投基失误, tid:993, tname:趋势, sql:insert into article_tags values(2181,993)
aid:2181, atitle:三招应对投基失误, tid:1092, tname:行情, sql:insert into article_tags values(2181,1092)
aid:2181, atitle:三招应对投基失误, tid:1094, tname:牛市, sql:insert into article_tags values(2181,1094)
aid:2181, atitle:三招应对投基失误, tid:1095, tname:熊市, sql:insert into article_tags values(2181,1095)
aid:2182, atitle:抢占优质标的指数, tid:53, tname:牛市, sql:insert into article_tags values(2182,53)
aid:2182, atitle:抢占优质标的指数, tid:60, tname:反弹, sql:insert into article_tags values(2182,60)
aid:2182, atitle:抢占优质标的指数, tid:352, tname:证券, sql:insert into article_tags values(2182,352)
aid:2182, atitle:抢占优质标的指数, tid:448, tname:公司, sql:insert into article_tags values(2182,448)
aid:2182, atitle:抢占优质标的指数, tid:1094, tname:牛市, sql:insert into article_tags values(2182,1094)
aid:2182, atitle:抢占优质标的指数, tid:1101, tname:反弹, sql:insert into article_tags values(2182,1101)
aid:2183, atitle:新发基金投资攻略, tid:165, tname:股票, sql:insert into article_tags values(2183,165)
aid:2183, atitle:新发基金投资攻略, tid:201, tname:债券, sql:insert into article_tags values(2183,201)
aid:2183, atitle:新发基金投资攻略, tid:317, tname:货币市场基金, sql:insert into article_tags values(2183,317)
aid:2184, atitle:慎重选择杠杆股基, tid:165, tname:股票, sql:insert into article_tags values(2184,165)
aid:2184, atitle:慎重选择杠杆股基, tid:201, tname:债券, sql:insert into article_tags values(2184,201)
aid:2184, atitle:慎重选择杠杆股基, tid:312, tname:封闭式基金, sql:insert into article_tags values(2184,312)
aid:2184, atitle:慎重选择杠杆股基, tid:486, tname:资产, sql:insert into article_tags values(2184,486)
aid:2184, atitle:慎重选择杠杆股基, tid:890, tname:行业, sql:insert into article_tags values(2184,890)
aid:2185, atitle:均衡选择投资基金方式, tid:51, tname:行情, sql:insert into article_tags values(2185,51)
aid:2185, atitle:均衡选择投资基金方式, tid:165, tname:股票, sql:insert into article_tags values(2185,165)
aid:2185, atitle:均衡选择投资基金方式, tid:201, tname:债券, sql:insert into article_tags values(2185,201)
aid:2185, atitle:均衡选择投资基金方式, tid:448, tname:公司, sql:insert into article_tags values(2185,448)
aid:2185, atitle:均衡选择投资基金方式, tid:486, tname:资产, sql:insert into article_tags values(2185,486)
aid:2185, atitle:均衡选择投资基金方式, tid:867, tname:利率, sql:insert into article_tags values(2185,867)
aid:2185, atitle:均衡选择投资基金方式, tid:880, tname:货币政策, sql:insert into article_tags values(2185,880)
aid:2185, atitle:均衡选择投资基金方式, tid:1092, tname:行情, sql:insert into article_tags values(2185,1092)
aid:2186, atitle:南方基金邱国鹭的四大投资心得, tid:165, tname:股票, sql:insert into article_tags values(2186,165)
aid:2186, atitle:南方基金邱国鹭的四大投资心得, tid:166, tname:股份, sql:insert into article_tags values(2186,166)
aid:2186, atitle:南方基金邱国鹭的四大投资心得, tid:352, tname:证券, sql:insert into article_tags values(2186,352)
aid:2186, atitle:南方基金邱国鹭的四大投资心得, tid:448, tname:公司, sql:insert into article_tags values(2186,448)
aid:2186, atitle:南方基金邱国鹭的四大投资心得, tid:486, tname:资产, sql:insert into article_tags values(2186,486)
aid:2186, atitle:南方基金邱国鹭的四大投资心得, tid:867, tname:利率, sql:insert into article_tags values(2186,867)
aid:2186, atitle:南方基金邱国鹭的四大投资心得, tid:890, tname:行业, sql:insert into article_tags values(2186,890)
aid:2186, atitle:南方基金邱国鹭的四大投资心得, tid:913, tname:品牌, sql:insert into article_tags values(2186,913)
aid:2187, atitle:净值回升期赎回基金细思量, tid:51, tname:行情, sql:insert into article_tags values(2187,51)
aid:2187, atitle:净值回升期赎回基金细思量, tid:60, tname:反弹, sql:insert into article_tags values(2187,60)
aid:2187, atitle:净值回升期赎回基金细思量, tid:165, tname:股票, sql:insert into article_tags values(2187,165)
aid:2187, atitle:净值回升期赎回基金细思量, tid:201, tname:债券, sql:insert into article_tags values(2187,201)
aid:2187, atitle:净值回升期赎回基金细思量, tid:312, tname:封闭式基金, sql:insert into article_tags values(2187,312)
aid:2187, atitle:净值回升期赎回基金细思量, tid:317, tname:货币市场基金, sql:insert into article_tags values(2187,317)
aid:2187, atitle:净值回升期赎回基金细思量, tid:333, tname:基金管理人, sql:insert into article_tags values(2187,333)
aid:2187, atitle:净值回升期赎回基金细思量, tid:352, tname:证券, sql:insert into article_tags values(2187,352)
aid:2187, atitle:净值回升期赎回基金细思量, tid:486, tname:资产, sql:insert into article_tags values(2187,486)
aid:2187, atitle:净值回升期赎回基金细思量, tid:772, tname:系统性风险, sql:insert into article_tags values(2187,772)
aid:2187, atitle:净值回升期赎回基金细思量, tid:868, tname:汇率, sql:insert into article_tags values(2187,868)
aid:2187, atitle:净值回升期赎回基金细思量, tid:880, tname:货币政策, sql:insert into article_tags values(2187,880)
aid:2187, atitle:净值回升期赎回基金细思量, tid:1092, tname:行情, sql:insert into article_tags values(2187,1092)
aid:2187, atitle:净值回升期赎回基金细思量, tid:1101, tname:反弹, sql:insert into article_tags values(2187,1101)
aid:2188, atitle:投基警惕三种误导, tid:30, tname:超卖, sql:insert into article_tags values(2188,30)
aid:2188, atitle:投基警惕三种误导, tid:51, tname:行情, sql:insert into article_tags values(2188,51)
aid:2188, atitle:投基警惕三种误导, tid:53, tname:牛市, sql:insert into article_tags values(2188,53)
aid:2188, atitle:投基警惕三种误导, tid:54, tname:熊市, sql:insert into article_tags values(2188,54)
aid:2188, atitle:投基警惕三种误导, tid:60, tname:反弹, sql:insert into article_tags values(2188,60)
aid:2188, atitle:投基警惕三种误导, tid:94, tname:趋势, sql:insert into article_tags values(2188,94)
aid:2188, atitle:投基警惕三种误导, tid:352, tname:证券, sql:insert into article_tags values(2188,352)
aid:2188, atitle:投基警惕三种误导, tid:448, tname:公司, sql:insert into article_tags values(2188,448)
aid:2188, atitle:投基警惕三种误导, tid:993, tname:趋势, sql:insert into article_tags values(2188,993)
aid:2188, atitle:投基警惕三种误导, tid:1071, tname:超卖, sql:insert into article_tags values(2188,1071)
aid:2188, atitle:投基警惕三种误导, tid:1092, tname:行情, sql:insert into article_tags values(2188,1092)
aid:2188, atitle:投基警惕三种误导, tid:1094, tname:牛市, sql:insert into article_tags values(2188,1094)
aid:2188, atitle:投基警惕三种误导, tid:1095, tname:熊市, sql:insert into article_tags values(2188,1095)
aid:2188, atitle:投基警惕三种误导, tid:1101, tname:反弹, sql:insert into article_tags values(2188,1101)
aid:2189, atitle:量化投资的利与弊, tid:165, tname:股票, sql:insert into article_tags values(2189,165)
aid:2189, atitle:量化投资的利与弊, tid:352, tname:证券, sql:insert into article_tags values(2189,352)
aid:2189, atitle:量化投资的利与弊, tid:469, tname:董事, sql:insert into article_tags values(2189,469)
aid:2189, atitle:量化投资的利与弊, tid:475, tname:董事会, sql:insert into article_tags values(2189,475)
aid:2189, atitle:量化投资的利与弊, tid:486, tname:资产, sql:insert into article_tags values(2189,486)
aid:2190, atitle:申购民生加银现金增利基金何时计算收益, tid:317, tname:货币市场基金, sql:insert into article_tags values(2190,317)
aid:2190, atitle:申购民生加银现金增利基金何时计算收益, tid:333, tname:基金管理人, sql:insert into article_tags values(2190,333)
aid:2190, atitle:申购民生加银现金增利基金何时计算收益, tid:448, tname:公司, sql:insert into article_tags values(2190,448)
aid:2190, atitle:申购民生加银现金增利基金何时计算收益, tid:665, tname:基金账户, sql:insert into article_tags values(2190,665)
aid:2191, atitle:“专家”PK“通才”, tid:53, tname:牛市, sql:insert into article_tags values(2191,53)
aid:2191, atitle:“专家”PK“通才”, tid:165, tname:股票, sql:insert into article_tags values(2191,165)
aid:2191, atitle:“专家”PK“通才”, tid:352, tname:证券, sql:insert into article_tags values(2191,352)
aid:2191, atitle:“专家”PK“通才”, tid:448, tname:公司, sql:insert into article_tags values(2191,448)
aid:2191, atitle:“专家”PK“通才”, tid:486, tname:资产, sql:insert into article_tags values(2191,486)
aid:2191, atitle:“专家”PK“通才”, tid:816, tname:证券投资, sql:insert into article_tags values(2191,816)
aid:2191, atitle:“专家”PK“通才”, tid:890, tname:行业, sql:insert into article_tags values(2191,890)
aid:2191, atitle:“专家”PK“通才”, tid:1094, tname:牛市, sql:insert into article_tags values(2191,1094)
aid:2192, atitle:基民问答, tid:201, tname:债券, sql:insert into article_tags values(2192,201)
aid:2192, atitle:基民问答, tid:317, tname:货币市场基金, sql:insert into article_tags values(2192,317)
aid:2193, atitle:市场热点追逐者, tid:48, tname:热门股, sql:insert into article_tags values(2193,48)
aid:2193, atitle:市场热点追逐者, tid:165, tname:股票, sql:insert into article_tags values(2193,165)
aid:2193, atitle:市场热点追逐者, tid:201, tname:债券, sql:insert into article_tags values(2193,201)
aid:2193, atitle:市场热点追逐者, tid:381, tname:利润, sql:insert into article_tags values(2193,381)
aid:2193, atitle:市场热点追逐者, tid:448, tname:公司, sql:insert into article_tags values(2193,448)
aid:2193, atitle:市场热点追逐者, tid:486, tname:资产, sql:insert into article_tags values(2193,486)
aid:2193, atitle:市场热点追逐者, tid:498, tname:资产管理, sql:insert into article_tags values(2193,498)
aid:2193, atitle:市场热点追逐者, tid:831, tname:技术分析, sql:insert into article_tags values(2193,831)
aid:2193, atitle:市场热点追逐者, tid:1089, tname:热门股, sql:insert into article_tags values(2193,1089)
aid:2193, atitle:市场热点追逐者, tid:1120, tname:资产管理, sql:insert into article_tags values(2193,1120)
aid:2194, atitle:定投三定三不定, tid:141, tname:套利, sql:insert into article_tags values(2194,141)
aid:2194, atitle:定投三定三不定, tid:165, tname:股票, sql:insert into article_tags values(2194,165)
aid:2194, atitle:定投三定三不定, tid:201, tname:债券, sql:insert into article_tags values(2194,201)
aid:2194, atitle:定投三定三不定, tid:317, tname:货币市场基金, sql:insert into article_tags values(2194,317)
aid:2194, atitle:定投三定三不定, tid:352, tname:证券, sql:insert into article_tags values(2194,352)
aid:2194, atitle:定投三定三不定, tid:381, tname:利润, sql:insert into article_tags values(2194,381)
aid:2194, atitle:定投三定三不定, tid:868, tname:汇率, sql:insert into article_tags values(2194,868)
aid:2194, atitle:定投三定三不定, tid:880, tname:货币政策, sql:insert into article_tags values(2194,880)
aid:2194, atitle:定投三定三不定, tid:1041, tname:套利, sql:insert into article_tags values(2194,1041)
aid:2195, atitle:判定买卖时机有门道, tid:9, tname:涨跌, sql:insert into article_tags values(2195,9)
aid:2195, atitle:判定买卖时机有门道, tid:23, tname:头部, sql:insert into article_tags values(2195,23)
aid:2195, atitle:判定买卖时机有门道, tid:38, tname:利空, sql:insert into article_tags values(2195,38)
aid:2195, atitle:判定买卖时机有门道, tid:62, tname:套牢, sql:insert into article_tags values(2195,62)
aid:2195, atitle:判定买卖时机有门道, tid:880, tname:货币政策, sql:insert into article_tags values(2195,880)
aid:2195, atitle:判定买卖时机有门道, tid:1050, tname:涨跌, sql:insert into article_tags values(2195,1050)
aid:2195, atitle:判定买卖时机有门道, tid:1064, tname:头部, sql:insert into article_tags values(2195,1064)
aid:2195, atitle:判定买卖时机有门道, tid:1079, tname:利空, sql:insert into article_tags values(2195,1079)
aid:2195, atitle:判定买卖时机有门道, tid:1103, tname:套牢, sql:insert into article_tags values(2195,1103)
aid:2196, atitle:基民问答, tid:21, tname:探底, sql:insert into article_tags values(2196,21)
aid:2196, atitle:基民问答, tid:53, tname:牛市, sql:insert into article_tags values(2196,53)
aid:2196, atitle:基民问答, tid:165, tname:股票, sql:insert into article_tags values(2196,165)
aid:2196, atitle:基民问答, tid:201, tname:债券, sql:insert into article_tags values(2196,201)
aid:2196, atitle:基民问答, tid:448, tname:公司, sql:insert into article_tags values(2196,448)
aid:2196, atitle:基民问答, tid:486, tname:资产, sql:insert into article_tags values(2196,486)
aid:2196, atitle:基民问答, tid:867, tname:利率, sql:insert into article_tags values(2196,867)
aid:2196, atitle:基民问答, tid:1062, tname:探底, sql:insert into article_tags values(2196,1062)
aid:2196, atitle:基民问答, tid:1094, tname:牛市, sql:insert into article_tags values(2196,1094)
aid:2197, atitle:券基发力证券账户一户多用 推保证金现金管理产品, tid:18, tname:突破, sql:insert into article_tags values(2197,18)
aid:2197, atitle:券基发力证券账户一户多用 推保证金现金管理产品, tid:352, tname:证券, sql:insert into article_tags values(2197,352)
aid:2197, atitle:券基发力证券账户一户多用 推保证金现金管理产品, tid:448, tname:公司, sql:insert into article_tags values(2197,448)
aid:2197, atitle:券基发力证券账户一户多用 推保证金现金管理产品, tid:486, tname:资产, sql:insert into article_tags values(2197,486)
aid:2197, atitle:券基发力证券账户一户多用 推保证金现金管理产品, tid:492, tname:证券公司, sql:insert into article_tags values(2197,492)
